title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
Venom: Let There Be Carnage,2021,Oct 1,213550366.0,4225.0,-,,https://www.boxofficemojo.com/release/rl1908310529/?ref_=bo_yld_table_3
Black Widow,2021,Jul 9,183651655.0,4275.0,-,,https://www.boxofficemojo.com/release/rl2122089985/?ref_=bo_yld_table_4
F9: The Fast Saga,2021,Jun 25,173005945.0,4203.0,-,,https://www.boxofficemojo.com/release/rl192906753/?ref_=bo_yld_table_5
Eternals,2021,Nov 5,164870234.0,4090.0,-,,https://www.boxofficemojo.com/release/rl2138867201/?ref_=bo_yld_table_6
No Time to Die,2021,Oct 8,160891007.0,4407.0,-,,https://www.boxofficemojo.com/release/rl4077159937/?ref_=bo_yld_table_7
A Quiet Place Part II,2021,May 28,160072261.0,3744.0,-,,https://www.boxofficemojo.com/release/rl2819065345/?ref_=bo_yld_table_8
Ghostbusters: Afterlife,2021,Nov 19,129360575.0,4315.0,-,,https://www.boxofficemojo.com/release/rl319391233/?ref_=bo_yld_table_9
Free Guy,2021,Aug 13,121626598.0,4165.0,-,,https://www.boxofficemojo.com/release/rl1158252033/?ref_=bo_yld_table_10
Jungle Cruise,2021,Jul 30,116987516.0,4310.0,-,,https://www.boxofficemojo.com/release/rl3657795073/?ref_=bo_yld_table_11
Godzilla vs. Kong,2021,Mar 31,100916094.0,3084.0,-,,https://www.boxofficemojo.com/release/rl1383892481/?ref_=bo_yld_table_12
Dune: Part One,2021,Oct 22,108327830.0,4125.0,-,,https://www.boxofficemojo.com/release/rl3162015233/?ref_=bo_yld_table_13
Halloween Kills,2021,Oct 15,92002155.0,3727.0,-,,https://www.boxofficemojo.com/release/rl319063553/?ref_=bo_yld_table_14
Encanto,2021,Nov 24,96093622.0,3980.0,-,,https://www.boxofficemojo.com/release/rl1887208961/?ref_=bo_yld_table_15
Cruella,2021,May 28,86103234.0,3922.0,-,,https://www.boxofficemojo.com/release/rl3708126721/?ref_=bo_yld_table_16
Sing 2,2021,Dec 22,162790990.0,3892.0,-,,https://www.boxofficemojo.com/release/rl302024193/?ref_=bo_yld_table_17
Space Jam: A New Legacy,2021,Jul 16,70592228.0,4002.0,-,,https://www.boxofficemojo.com/release/rl973374977/?ref_=bo_yld_table_18
The Conjuring: The Devil Made Me Do It,2021,Jun 4,65631050.0,3280.0,-,,https://www.boxofficemojo.com/release/rl3842475521/?ref_=bo_yld_table_19
Candyman,2021,Aug 27,61186570.0,3569.0,-,,https://www.boxofficemojo.com/release/rl1913030145/?ref_=bo_yld_table_20
The Boss Baby 2: Family Business,2021,Jul 2,57300280.0,3688.0,-,,https://www.boxofficemojo.com/release/rl1594066433/?ref_=bo_yld_table_21
The Addams Family 2,2021,Oct 1,56489153.0,4207.0,-,,https://www.boxofficemojo.com/release/rl1465156353/?ref_=bo_yld_table_22
The Suicide Squad,2021,Aug 6,55817425.0,4019.0,-,,https://www.boxofficemojo.com/release/rl84510209/?ref_=bo_yld_table_23
Raya and the Last Dragon,2021,Mar 5,54723032.0,2375.0,-,,https://www.boxofficemojo.com/release/rl3781723649/?ref_=bo_yld_table_24
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2021,Apr 23,49505008.0,2087.0,-,,https://www.boxofficemojo.com/release/rl3648226049/?ref_=bo_yld_table_25
Clifford the Big Red Dog,2021,Nov 10,48947356.0,3700.0,-,,https://www.boxofficemojo.com/release/rl642418177/?ref_=bo_yld_table_26
House of Gucci,2021,Nov 24,53809574.0,3477.0,-,,https://www.boxofficemojo.com/release/rl2182841089/?ref_=bo_yld_table_27
Old,2021,Jul 23,48276510.0,3379.0,-,,https://www.boxofficemojo.com/release/rl2097710593/?ref_=bo_yld_table_28
Tom & Jerry,2021,Feb 26,46536687.0,2563.0,-,,https://www.boxofficemojo.com/release/rl2399766017/?ref_=bo_yld_table_29
The Forever Purge,2021,Jul 2,44539245.0,3058.0,-,,https://www.boxofficemojo.com/release/rl84444673/?ref_=bo_yld_table_30
Peter Rabbit 2: The Runaway,2021,Jun 11,40501717.0,3346.0,-,,https://www.boxofficemojo.com/release/rl2869200385/?ref_=bo_yld_table_31
PAW Patrol: The Movie,2021,Aug 20,40127371.0,3189.0,-,,https://www.boxofficemojo.com/release/rl1757315585/?ref_=bo_yld_table_32
Hitman's Wife's Bodyguard,2021,Jun 16,38014727.0,3361.0,-,,https://www.boxofficemojo.com/release/rl2544534017/?ref_=bo_yld_table_33
Mortal Kombat,2021,Apr 23,42326031.0,3114.0,-,,https://www.boxofficemojo.com/release/rl1862829569/?ref_=bo_yld_table_34
Don't Breathe 2,2021,Aug 13,32712950.0,3005.0,-,,https://www.boxofficemojo.com/release/rl1180271361/?ref_=bo_yld_table_35
In the Heights,2021,Jun 11,29975167.0,3509.0,-,,https://www.boxofficemojo.com/release/rl3674506753/?ref_=bo_yld_table_36
Snake Eyes,2021,Jul 23,28264325.0,3540.0,-,,https://www.boxofficemojo.com/release/rl2114291201/?ref_=bo_yld_table_37
West Side Story,2021,Dec 10,38530322.0,2820.0,-,,https://www.boxofficemojo.com/release/rl319325697/?ref_=bo_yld_table_38
The Matrix Resurrections,2021,Dec 22,37686805.0,3552.0,-,,https://www.boxofficemojo.com/release/rl2175304193/?ref_=bo_yld_table_39
Wrath of Man,2021,May 7,27466489.0,3007.0,-,,https://www.boxofficemojo.com/release/rl2976809729/?ref_=bo_yld_table_40
Nobody,2021,Mar 26,27568035.0,2567.0,-,,https://www.boxofficemojo.com/release/rl604276225/?ref_=bo_yld_table_41
The Croods: A New Age,2021,Nov 25,58568815.0,2211.0,-,,https://www.boxofficemojo.com/release/rl3209528833/?ref_=bo_yld_table_42
Escape Room: Tournament of Champions,2021,Jul 16,25314753.0,2815.0,-,,https://www.boxofficemojo.com/release/rl3205072385/?ref_=bo_yld_table_43
Respect,2021,Aug 13,24278399.0,3207.0,-,,https://www.boxofficemojo.com/release/rl4039082497/?ref_=bo_yld_table_44
Wonder Woman 1984,2021,Dec 25,46801036.0,2218.0,-,,https://www.boxofficemojo.com/release/rl3624109569/?ref_=bo_yld_table_45
Spiral,2021,May 14,23216862.0,2991.0,-,,https://www.boxofficemojo.com/release/rl1745389057/?ref_=bo_yld_table_46
Ron's Gone Wrong,2021,Oct 22,23009270.0,3560.0,-,,https://www.boxofficemojo.com/release/rl2516747777/?ref_=bo_yld_table_47
Spirit Untamed,2021,Jun 4,17716215.0,3394.0,-,,https://www.boxofficemojo.com/release/rl2450228737/?ref_=bo_yld_table_48
The Green Knight,2021,Jul 30,17173321.0,2798.0,-,,https://www.boxofficemojo.com/release/rl4222779905/?ref_=bo_yld_table_49
Resident Evil: Welcome to Raccoon City,2021,Nov 24,17000612.0,2803.0,-,,https://www.boxofficemojo.com/release/rl829063937/?ref_=bo_yld_table_50
The King's Man,2021,Dec 22,37176373.0,3180.0,-,,https://www.boxofficemojo.com/release/rl2181531137/?ref_=bo_yld_table_51
The French Dispatch,2021,Oct 22,16124375.0,1225.0,-,,https://www.boxofficemojo.com/release/rl1085440513/?ref_=bo_yld_table_52
The Marksman,2021,Jan 15,15566093.0,2018.0,-,,https://www.boxofficemojo.com/release/rl3412361985/?ref_=bo_yld_table_53
The Unholy,2021,Apr 2,15532137.0,2057.0,-,,https://www.boxofficemojo.com/release/rl460292865/?ref_=bo_yld_table_54
The Little Things,2021,Jan 29,15342746.0,2206.0,-,,https://www.boxofficemojo.com/release/rl918258177/?ref_=bo_yld_table_55
Dear Evan Hansen,2021,Sep 24,15002646.0,3364.0,-,,https://www.boxofficemojo.com/release/rl3127608065/?ref_=bo_yld_table_56
King Richard,2021,Nov 19,15129285.0,3302.0,-,,https://www.boxofficemojo.com/release/rl1191740929/?ref_=bo_yld_table_57
Stillwater,2021,Jul 30,14465535.0,2611.0,-,,https://www.boxofficemojo.com/release/rl1863026177/?ref_=bo_yld_table_58
Christmas with the Chosen: The Messengers,2021,Dec 1,13728000.0,1700.0,-,,https://www.boxofficemojo.com/release/rl2048426753/?ref_=bo_yld_table_59
Malignant,2021,Sep 10,13391791.0,3501.0,-,,https://www.boxofficemojo.com/release/rl4288512513/?ref_=bo_yld_table_60
Chaos Walking,2021,Mar 5,13287908.0,2132.0,-,,https://www.boxofficemojo.com/release/rl157647617/?ref_=bo_yld_table_61
My Hero Academia: World Heroes' Mission,2021,Oct 29,12271658.0,1585.0,-,,https://www.boxofficemojo.com/release/rl1494057729/?ref_=bo_yld_table_62
American Underdog,2021,Dec 25,26514814.0,2813.0,-,,https://www.boxofficemojo.com/release/rl1035239937/?ref_=bo_yld_table_63
The Last Duel,2021,Oct 15,10853945.0,3065.0,-,,https://www.boxofficemojo.com/release/rl3819143681/?ref_=bo_yld_table_64
Antlers,2021,Oct 29,10619670.0,2800.0,-,,https://www.boxofficemojo.com/release/rl3483599361/?ref_=bo_yld_table_65
Cry Macho,2021,Sep 17,10310734.0,4022.0,-,,https://www.boxofficemojo.com/release/rl477004545/?ref_=bo_yld_table_66
Monster Hunter,2021,Dec 18,15162470.0,1817.0,-,,https://www.boxofficemojo.com/release/rl1862895105/?ref_=bo_yld_table_67
Last Night in Soho,2021,Oct 29,10127625.0,3016.0,-,,https://www.boxofficemojo.com/release/rl839616001/?ref_=bo_yld_table_68
News of the World,2021,Dec 25,12668325.0,1986.0,-,,https://www.boxofficemojo.com/release/rl3054208513/?ref_=bo_yld_table_69
The Many Saints of Newark,2021,Oct 1,8237403.0,3181.0,-,,https://www.boxofficemojo.com/release/rl2164884993/?ref_=bo_yld_table_70
The Protégé,2021,Aug 20,7446823.0,2577.0,-,,https://www.boxofficemojo.com/release/rl1555988993/?ref_=bo_yld_table_71
The Night House,2021,Aug 20,7100581.0,2240.0,-,,https://www.boxofficemojo.com/release/rl1550353153/?ref_=bo_yld_table_72
Spencer,2021,Nov 5,7086632.0,1265.0,-,,https://www.boxofficemojo.com/release/rl2065335041/?ref_=bo_yld_table_73
Belfast,2021,Nov 12,9250870.0,1255.0,-,,https://www.boxofficemojo.com/release/rl4000285441/?ref_=bo_yld_table_74
Nightmare Alley,2021,Dec 17,11338107.0,2145.0,-,,https://www.boxofficemojo.com/release/rl1382580993/?ref_=bo_yld_table_75
Those Who Wish Me Dead,2021,May 14,7407200.0,3379.0,-,,https://www.boxofficemojo.com/release/rl2909504257/?ref_=bo_yld_table_76
The Courier,2021,Mar 19,6613432.0,1641.0,-,,https://www.boxofficemojo.com/release/rl3082715649/?ref_=bo_yld_table_77
Judas and the Black Messiah,2021,Feb 12,5478009.0,1906.0,-,,https://www.boxofficemojo.com/release/rl782991873/?ref_=bo_yld_table_78
Licorice Pizza,2021,Nov 26,17318007.0,1977.0,-,,https://www.boxofficemojo.com/release/rl2233172737/?ref_=bo_yld_table_79
Promising Young Woman,2021,Dec 25,6460965.0,1448.0,-,,https://www.boxofficemojo.com/release/rl3852829185/?ref_=bo_yld_table_80
Roadrunner: A Film About Anthony Bourdain,2021,Jul 16,5354970.0,954.0,-,,https://www.boxofficemojo.com/release/rl3782378241/?ref_=bo_yld_table_81
Copshop,2021,Sep 17,5213243.0,3005.0,-,,https://www.boxofficemojo.com/release/rl2667676417/?ref_=bo_yld_table_82
Zola,2021,Jun 30,4844399.0,1468.0,-,,https://www.boxofficemojo.com/release/rl358974209/?ref_=bo_yld_table_83
Separation,2021,Apr 30,4509143.0,1911.0,-,,https://www.boxofficemojo.com/release/rl1383105281/?ref_=bo_yld_table_84
Boogie,2021,Mar 5,4178620.0,1272.0,-,,https://www.boxofficemojo.com/release/rl677610241/?ref_=bo_yld_table_85
Fatale,2021,Dec 18,6306897.0,1222.0,-,,https://www.boxofficemojo.com/release/rl1846248961/?ref_=bo_yld_table_86
A Journal for Jordan,2021,Dec 25,6545174.0,2500.0,-,,https://www.boxofficemojo.com/release/rl1886552833/?ref_=bo_yld_table_87
Reminiscence,2021,Aug 20,3900193.0,3265.0,-,,https://www.boxofficemojo.com/release/rl2076082689/?ref_=bo_yld_table_88
12 Mighty Orphans,2021,Jun 11,3689637.0,1047.0,-,,https://www.boxofficemojo.com/release/rl4050879233/?ref_=bo_yld_table_89
Sooryavanshi,2021,Nov 5,3547776.0,491.0,-,,https://www.boxofficemojo.com/release/rl4078338817/?ref_=bo_yld_table_90
Pig,2021,Jul 16,3186668.0,588.0,-,,https://www.boxofficemojo.com/release/rl2718204673/?ref_=bo_yld_table_91
The Girl Who Believes in Miracles,2021,Apr 2,3163362.0,1012.0,-,,https://www.boxofficemojo.com/release/rl1685029633/?ref_=bo_yld_table_92
Voyagers,2021,Apr 9,3149935.0,1996.0,-,,https://www.boxofficemojo.com/release/rl1505657345/?ref_=bo_yld_table_93
Minari,2021,Feb 12,3110580.0,912.0,-,,https://www.boxofficemojo.com/release/rl3731849985/?ref_=bo_yld_table_94
'83,2021,Dec 23,4055660.0,486.0,-,,https://www.boxofficemojo.com/release/rl3882713857/?ref_=bo_yld_table_95
Dream Horse,2021,May 21,2913328.0,1284.0,-,,https://www.boxofficemojo.com/release/rl648774145/?ref_=bo_yld_table_96
The House Next Door: Meet the Blacks 2,2021,Jun 11,2893660.0,539.0,-,,https://www.boxofficemojo.com/release/rl1383564033/?ref_=bo_yld_table_97
Here Today,2021,May 7,2807494.0,1230.0,-,,https://www.boxofficemojo.com/release/rl1551074049/?ref_=bo_yld_table_98
Finding You,2021,May 14,2753985.0,1447.0,-,,https://www.boxofficemojo.com/release/rl2941289217/?ref_=bo_yld_table_99
Lamb,2021,Oct 8,2676410.0,865.0,-,,https://www.boxofficemojo.com/release/rl3725492993/?ref_=bo_yld_table_100
The Card Counter,2021,Sep 10,2657850.0,739.0,-,,https://www.boxofficemojo.com/release/rl1165460225/?ref_=bo_yld_table_101
Land,2021,Feb 12,2577830.0,1349.0,-,,https://www.boxofficemojo.com/release/rl3798106881/?ref_=bo_yld_table_102
The War with Grandpa,2021,Oct 9,21277892.0,2365.0,-,,https://www.boxofficemojo.com/release/rl1078166273/?ref_=bo_yld_table_103
The Eyes of Tammy Faye,2021,Sep 17,2404127.0,1352.0,-,,https://www.boxofficemojo.com/release/rl1600684801/?ref_=bo_yld_table_104
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,Jun 25,2320649.0,752.0,-,,https://www.boxofficemojo.com/release/rl1786741505/?ref_=bo_yld_table_105
After We Fell,2021,Sep 10,2170750.0,1294.0,-,,https://www.boxofficemojo.com/release/rl3121709825/?ref_=bo_yld_table_106
Queen Bees,2021,Jun 11,1926706.0,600.0,-,,https://www.boxofficemojo.com/release/rl3010495233/?ref_=bo_yld_table_107
The Father,2021,Feb 26,2122771.0,933.0,-,,https://www.boxofficemojo.com/release/rl4290478593/?ref_=bo_yld_table_108
Show Me the Father,2021,Sep 10,1803226.0,1073.0,-,,https://www.boxofficemojo.com/release/rl8028929/?ref_=bo_yld_table_109
C'mon C'mon,2021,Nov 19,1863674.0,569.0,-,,https://www.boxofficemojo.com/release/rl2048033537/?ref_=bo_yld_table_110
Profile,2021,May 14,1744740.0,2104.0,-,,https://www.boxofficemojo.com/release/rl1080984321/?ref_=bo_yld_table_111
Titane,2021,Oct 1,1442988.0,562.0,-,,https://www.boxofficemojo.com/release/rl1947370241/?ref_=bo_yld_table_112
Together Together,2021,Apr 23,1437938.0,665.0,-,,https://www.boxofficemojo.com/release/rl1802732289/?ref_=bo_yld_table_113
Joe Bell,2021,Jul 23,1405488.0,1094.0,-,,https://www.boxofficemojo.com/release/rl1935442689/?ref_=bo_yld_table_114
Nomadland,2021,Feb 19,3700000.0,1200.0,-,,https://www.boxofficemojo.com/release/rl1414169345/?ref_=bo_yld_table_115
Pinocchio,2021,Dec 25,1831718.0,824.0,-,,https://www.boxofficemojo.com/release/rl3428745985/?ref_=bo_yld_table_116
Pushpa: The Rise - Part 1,2021,Dec 17,1320000.0,400.0,-,,https://www.boxofficemojo.com/release/rl405046017/?ref_=bo_yld_table_117
Scott Pilgrim vs. the World,2021,-,1867625.0,448.0,-,,https://www.boxofficemojo.com/release/rl3027141377/?ref_=bo_yld_table_118
Wrong Turn,2021,Jan 26,1251184.0,259.0,-,,https://www.boxofficemojo.com/release/rl1147962113/?ref_=bo_yld_table_119
Honsla Rakh,2021,Oct 15,1800000.0,100.0,-,,https://www.boxofficemojo.com/release/rl2736161537/?ref_=bo_yld_table_120
God's Not Dead: We the People,2021,Oct 4,1170367.0,565.0,-,,https://www.boxofficemojo.com/release/rl1529840385/?ref_=bo_yld_table_121
In the Earth,2021,Apr 16,1113723.0,571.0,-,,https://www.boxofficemojo.com/release/rl242385665/?ref_=bo_yld_table_122
The Rescue,2021,Oct 8,1060556.0,561.0,-,,https://www.boxofficemojo.com/release/rl4010574593/?ref_=bo_yld_table_123
Sword Art Online: Progressive - Aria of a Starless Night,2021,Dec 3,1050000.0,840.0,-,,https://www.boxofficemojo.com/release/rl589529857/?ref_=bo_yld_table_124
True to the Game 3,2021,Dec 3,1038255.0,440.0,-,,https://www.boxofficemojo.com/release/rl3799024385/?ref_=bo_yld_table_125
Long Weekend,2021,Mar 12,1018532.0,821.0,-,,https://www.boxofficemojo.com/release/rl2305655553/?ref_=bo_yld_table_126
The Jesus Music,2021,Oct 1,1016725.0,270.0,-,,https://www.boxofficemojo.com/release/rl469992193/?ref_=bo_yld_table_127
Love Story,2021,Sep 24,971000.0,300.0,-,,https://www.boxofficemojo.com/release/rl1997701889/?ref_=bo_yld_table_128
Come Play,2021,Oct 30,10475990.0,2183.0,-,,https://www.boxofficemojo.com/release/rl2773844737/?ref_=bo_yld_table_129
Little Eggs: An African Rescue,2021,Aug 27,927154.0,320.0,-,,https://www.boxofficemojo.com/release/rl2970387201/?ref_=bo_yld_table_130
Witnesses,2021,Jun 4,855765.0,90.0,-,,https://www.boxofficemojo.com/release/rl595428097/?ref_=bo_yld_table_131
Scoob!,2021,May 21,2188425.0,,-,,https://www.boxofficemojo.com/release/rl3816785409/?ref_=bo_yld_table_132
The Alpinist,2021,Sep 10,844743.0,245.0,-,,https://www.boxofficemojo.com/release/rl620921601/?ref_=bo_yld_table_133
Four Good Days,2021,Apr 30,837849.0,489.0,-,,https://www.boxofficemojo.com/release/rl1265861377/?ref_=bo_yld_table_134
The Mauritanian,2021,Feb 12,836536.0,287.0,-,,https://www.boxofficemojo.com/release/rl3395388161/?ref_=bo_yld_table_135
Lamb of God: The Concert Film,2021,Mar 12,744813.0,138.0,-,,https://www.boxofficemojo.com/release/rl527270657/?ref_=bo_yld_table_136
Blue Bayou,2021,Sep 17,788675.0,487.0,-,,https://www.boxofficemojo.com/release/rl777749249/?ref_=bo_yld_table_137
French Exit,2021,Feb 12,741895.0,493.0,-,,https://www.boxofficemojo.com/release/rl273449729/?ref_=bo_yld_table_138
L'Arracheuse de temps,2021,Nov 19,750623.0,72.0,-,,https://www.boxofficemojo.com/release/rl3486745345/?ref_=bo_yld_table_139
Nine Days,2021,Jul 30,694849.0,443.0,-,,https://www.boxofficemojo.com/release/rl491553537/?ref_=bo_yld_table_140
Our Friend,2021,Jan 22,663725.0,818.0,-,,https://www.boxofficemojo.com/release/rl2321515265/?ref_=bo_yld_table_141
Chal Mera Putt 3,2021,Oct 1,644000.0,90.0,-,,https://www.boxofficemojo.com/release/rl2316665601/?ref_=bo_yld_table_142
The Sparks Brothers,2021,Jun 18,648665.0,534.0,-,,https://www.boxofficemojo.com/release/rl3715072769/?ref_=bo_yld_table_143
"If I Can't Have Love, I Want Power",2021,Aug 25,626946.0,122.0,-,,https://www.boxofficemojo.com/release/rl2920055553/?ref_=bo_yld_table_144
Aline,2021,Nov 26,667815.0,72.0,-,,https://www.boxofficemojo.com/release/rl2048754433/?ref_=bo_yld_table_145
Werewolves Within,2021,Jun 25,575783.0,270.0,-,,https://www.boxofficemojo.com/release/rl1785496321/?ref_=bo_yld_table_146
City of Lies,2021,Mar 19,572493.0,502.0,-,,https://www.boxofficemojo.com/release/rl3664741121/?ref_=bo_yld_table_147
Anita,2021,Nov 12,556632.0,15.0,-,,https://www.boxofficemojo.com/release/rl404718337/?ref_=bo_yld_table_148
Courageous,2021,Sep 24,504855.0,1023.0,-,,https://www.boxofficemojo.com/release/rl226132737/?ref_=bo_yld_table_149
The Truffle Hunters,2021,Mar 5,521202.0,105.0,-,,https://www.boxofficemojo.com/release/rl441221889/?ref_=bo_yld_table_150
For the Love of Money,2021,Nov 24,480774.0,519.0,-,,https://www.boxofficemojo.com/release/rl3155919617/?ref_=bo_yld_table_151
National Champions,2021,Dec 10,475488.0,1197.0,-,,https://www.boxofficemojo.com/release/rl3472917249/?ref_=bo_yld_table_152
Jathi Ratnalu,2021,Mar 12,470000.0,130.0,-,,https://www.boxofficemojo.com/release/rl2725217025/?ref_=bo_yld_table_153
Most Eligible Bachelor,2021,Oct 15,470000.0,195.0,-,,https://www.boxofficemojo.com/release/rl2786493185/?ref_=bo_yld_table_154
Tenet,2021,Sep 3,58504105.0,2930.0,-,,https://www.boxofficemojo.com/release/rl1442940417/?ref_=bo_yld_table_155
World War Z,2021,May 28,448000.0,80.0,-,,https://www.boxofficemojo.com/release/rl2658894593/?ref_=bo_yld_table_156
The Lost Leonardo,2021,Aug 13,445740.0,217.0,-,,https://www.boxofficemojo.com/release/rl1970766593/?ref_=bo_yld_table_157
2021 Oscar Nominated Short Films: Live Action,2021,Apr 2,443050.0,184.0,-,,https://www.boxofficemojo.com/release/rl3178267393/?ref_=bo_yld_table_158
Flag Day,2021,Aug 20,424667.0,196.0,-,,https://www.boxofficemojo.com/release/rl3758850817/?ref_=bo_yld_table_159
Willy's Wonderland,2021,Feb 12,418286.0,171.0,-,,https://www.boxofficemojo.com/release/rl879395585/?ref_=bo_yld_table_160
Top Gun,2021,May 14,457577.0,153.0,-,,https://www.boxofficemojo.com/release/rl3061285633/?ref_=bo_yld_table_161
Dutch,2021,Mar 12,404371.0,202.0,-,,https://www.boxofficemojo.com/release/rl2573632257/?ref_=bo_yld_table_162
Ghostbusters,2021,Oct 29,391718.0,774.0,-,,https://www.boxofficemojo.com/release/rl1830322945/?ref_=bo_yld_table_163
The Metropolitan Opera HD Live: Mussorgsky: Boris Godunov,2021,Oct 8,387000.0,791.0,-,,https://www.boxofficemojo.com/release/rl890733313/?ref_=bo_yld_table_164
Crisis,2021,Feb 26,404738.0,216.0,-,,https://www.boxofficemojo.com/release/rl2808578817/?ref_=bo_yld_table_165
Red Rocket,2021,Dec 10,1023086.0,385.0,-,,https://www.boxofficemojo.com/release/rl2098365185/?ref_=bo_yld_table_166
Julia,2021,Nov 12,399811.0,288.0,-,,https://www.boxofficemojo.com/release/rl2550956801/?ref_=bo_yld_table_167
Ghost in the Shell,2021,Sep 17,373169.0,124.0,-,,https://www.boxofficemojo.com/release/rl185434881/?ref_=bo_yld_table_168
The Dry,2021,May 21,364237.0,186.0,-,,https://www.boxofficemojo.com/release/rl393052929/?ref_=bo_yld_table_169
"Dad, I'm Sorry",2021,May 28,350000.0,,-,,https://www.boxofficemojo.com/release/rl3950740225/?ref_=bo_yld_table_170
The Battle at Lake Changjin,2021,Nov 19,342411.0,20.0,-,,https://www.boxofficemojo.com/release/rl673088257/?ref_=bo_yld_table_171
The Emperor's New Groove,2021,Jan 15,334000.0,744.0,-,,https://www.boxofficemojo.com/release/rl3194585857/?ref_=bo_yld_table_172
Benedetta,2021,Dec 3,354481.0,201.0,-,,https://www.boxofficemojo.com/release/rl3825959681/?ref_=bo_yld_table_173
Freaky,2021,Nov 13,9030855.0,2472.0,-,,https://www.boxofficemojo.com/release/rl1699840769/?ref_=bo_yld_table_174
Drive My Car,2021,Nov 24,2352240.0,213.0,-,,https://www.boxofficemojo.com/release/rl404194049/?ref_=bo_yld_table_175
Final Account,2021,May 21,308976.0,308.0,-,,https://www.boxofficemojo.com/release/rl309035777/?ref_=bo_yld_table_176
The Water Man,2021,May 7,383234.0,311.0,-,,https://www.boxofficemojo.com/release/rl3194913537/?ref_=bo_yld_table_177
New Order,2021,May 21,303556.0,236.0,-,,https://www.boxofficemojo.com/release/rl2742518529/?ref_=bo_yld_table_178
India Sweets and Spices,2021,Nov 19,288714.0,343.0,-,,https://www.boxofficemojo.com/release/rl2333901569/?ref_=bo_yld_table_179
Blithe Spirit,2021,Feb 19,282500.0,239.0,-,,https://www.boxofficemojo.com/release/rl2874442497/?ref_=bo_yld_table_180
American Skin,2021,Jan 15,282332.0,72.0,-,,https://www.boxofficemojo.com/release/rl1785103105/?ref_=bo_yld_table_181
I'm Your Man,2021,Sep 24,275155.0,122.0,-,,https://www.boxofficemojo.com/release/rl638747393/?ref_=bo_yld_table_182
Escape from Mogadishu,2021,Aug 6,346271.0,42.0,-,,https://www.boxofficemojo.com/release/rl4144333569/?ref_=bo_yld_table_183
Raging Fire,2021,Aug 13,385305.0,59.0,-,,https://www.boxofficemojo.com/release/rl2114487041/?ref_=bo_yld_table_184
A Mouthful of Air,2021,Oct 29,269435.0,816.0,-,,https://www.boxofficemojo.com/release/rl2081522433/?ref_=bo_yld_table_185
Rita Moreno: Just a Girl Who Decided to Go for It,2021,Jun 18,264626.0,227.0,-,,https://www.boxofficemojo.com/release/rl3077669633/?ref_=bo_yld_table_186
Weathering with You,2021,Jan 15,8056636.0,1020.0,-,,https://www.boxofficemojo.com/release/rl3669066241/?ref_=bo_yld_table_187
Once I Was Engaged,2021,Jul 21,254775.0,32.0,-,,https://www.boxofficemojo.com/release/rl1644593921/?ref_=bo_yld_table_188
Supernova,2021,Jan 29,234220.0,330.0,-,,https://www.boxofficemojo.com/release/rl3512894209/?ref_=bo_yld_table_189
Becoming Cousteau,2021,Oct 22,231687.0,319.0,-,,https://www.boxofficemojo.com/release/rl1846182657/?ref_=bo_yld_table_190
Half Brothers,2021,Dec 4,2241980.0,1386.0,-,,https://www.boxofficemojo.com/release/rl760382209/?ref_=bo_yld_table_191
Limbo,2021,Apr 30,224405.0,213.0,-,,https://www.boxofficemojo.com/release/rl1735361281/?ref_=bo_yld_table_192
Promare,2021,Sep 17,2529324.0,701.0,-,,https://www.boxofficemojo.com/release/rl3104540161/?ref_=bo_yld_table_193
Together,2021,Aug 27,214390.0,250.0,-,,https://www.boxofficemojo.com/release/rl252543745/?ref_=bo_yld_table_194
The Swimming Pool,2021,May 14,211467.0,10.0,-,,https://www.boxofficemojo.com/release/rl2658632449/?ref_=bo_yld_table_195
Ailey,2021,Jul 23,204513.0,88.0,-,,https://www.boxofficemojo.com/release/rl2332459777/?ref_=bo_yld_table_196
The Lady of Heaven,2021,Dec 10,291597.0,59.0,-,,https://www.boxofficemojo.com/release/rl2943123457/?ref_=bo_yld_table_197
Groundhog Day,2021,Jan 29,200989.0,845.0,-,,https://www.boxofficemojo.com/release/rl3177939713/?ref_=bo_yld_table_198
The Resort,2021,Apr 30,191996.0,114.0,-,,https://www.boxofficemojo.com/release/rl1316193025/?ref_=bo_yld_table_199
Kaamelott: First Installment,2021,Jul 23,188000.0,26.0,-,,https://www.boxofficemojo.com/release/rl3691414273/?ref_=bo_yld_table_200
Top Gun: Maverick,2022,May 27,718732821.0,4751.0,-,,https://www.boxofficemojo.com/release/rl2500036097/?ref_=bo_yld_table_1
Black Panther: Wakanda Forever,2022,Nov 11,453829060.0,4396.0,-,,https://www.boxofficemojo.com/release/rl3573908993/?ref_=bo_yld_table_2
Doctor Strange in the Multiverse of Madness,2022,May 6,411331607.0,4534.0,-,,https://www.boxofficemojo.com/release/rl3724903937/?ref_=bo_yld_table_3
Avatar: The Way of Water,2022,Dec 16,684075767.0,4340.0,-,,https://www.boxofficemojo.com/release/rl3372254721/?ref_=bo_yld_table_4
Jurassic World: Dominion,2022,Jun 10,376851080.0,4697.0,-,,https://www.boxofficemojo.com/release/rl4043671041/?ref_=bo_yld_table_5
